Formula,Cr,Ti,Zr,MaxFWHM,composition,Miedema_deltaH_inter,Miedema_deltaH_amor,Miedema_deltaH_ss_min,Yang omega,Yang delta
Cr0.537457857Ti0.236696895Zr0.225845248,0.537457857,0.236696895,0.225845248,0.596079809,Cr0.53745786 Ti0.23669689 Zr0.22584525,-0.195955842,-0.098612116,-0.047092024,1.890269525,0.08103287
Cr0.56387356Ti0.21437312Zr0.22175332,0.56387356,0.21437312,0.22175332,0.603887921,Cr0.56387356 Ti0.21437312 Zr0.22175332,-0.189713333,-0.09376236,-0.044501372,1.851303504,0.081396879
Cr0.13602013Ti0.695916562Zr0.168063308,0.13602013,0.695916562,0.168063308,0.356904383,Cr0.13602013 Ti0.69591656 Zr0.16806331,-0.090137816,-0.010179405,-0.0264034,3.662158447,0.054816229
Cr0.150245056Ti0.674158167Zr0.175596776,0.150245056,0.674158167,0.175596776,0.40823633,Cr0.15024506 Ti0.67415817 Zr0.17559678,-0.098850699,-0.017630253,-0.029362141,3.486692179,0.056625545
Cr0.165661875Ti0.651386303Zr0.182951822,0.165661875,0.651386303,0.182951822,0.438642359,Cr0.16566187 Ti0.6513863 Zr0.18295182,-0.108118137,-0.025489639,-0.03233303,3.322310344,0.058452517
Cr0.182312397Ti0.62763723Zr0.190050373,0.182312397,0.62763723,0.190050373,0.451016013,Cr0.1823124 Ti0.62763723 Zr0.19005037,-0.117895797,-0.033710142,-0.035243641,3.168597191,0.060290451
Cr0.200221341Ti0.602966014Zr0.196812646,0.200221341,0.602966014,0.196812646,0.468998787,Cr0.20022134 Ti0.60296601 Zr0.19681265,-0.128103899,-0.042217288,-0.038008259,3.025200341,0.062131076
Cr0.219398241Ti0.577446599Zr0.20315516,0.219398241,0.577446599,0.20315516,0.474545812,Cr0.21939824 Ti0.5774466 Zr0.20315516,-0.138620981,-0.050906355,-0.040530621,2.891751484,0.063964519
Cr0.239835636Ti0.551172019Zr0.208992344,0.239835636,0.551172019,0.208992344,0.48958807,Cr0.23983564 Ti0.55117202 Zr0.20899234,-0.149276308,-0.059638164,-0.042707083,2.767865754,0.065779307
Cr0.261501379Ti0.524253771Zr0.21424485,0.261501379,0.524253771,0.21424485,0.503973569,Cr0.26150138 Ti0.52425377 Zr0.21424485,-0.159843402,-0.068235514,-0.044430742,2.653178157,0.067562572
